Target,Model,seed,MAE,RMSE,MAPE,R2
M_LB,ridge,15,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,16,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,17,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,18,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,19,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,20,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,21,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,22,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,23,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,24,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,25,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,26,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,27,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,28,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,29,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_LB,ridge,30,2.7743286499997777,3.8915216070720806,28.091869058723955,0.8976260161277059
M_DB,xgb,1,0.10731329417196071,0.26533937844356403,0.7662479465379612,0.999284780646536
M_DB,xgb,2,0.1014847684395417,0.2559623119570821,0.733026815094125,0.9993344389606502
M_DB,xgb,3,0.10074725878542869,0.2730501298338307,0.7180984767025197,0.9992426081674299
M_DB,xgb,4,0.10686214443642975,0.2544697127392491,0.7580589405683761,0.9993421785330439
M_DB,xgb,5,0.10503978290552617,0.25525411370717405,0.7321091732149099,0.9993381168231735
M_DB,xgb,6,0.10594967930439854,0.26230696163462597,0.7499046652381003,0.9993010349239699
M_DB,xgb,7,0.09580397633501865,0.2722562145624039,0.653911702014074,0.9992470061200799
M_DB,xgb,8,0.11066209181341631,0.2699168393846637,0.7895072239830394,0.9992598908004516
M_DB,xgb,9,0.119644745083635,0.29004412878949737,0.8377218035976627,0.9991453978123988
M_DB,xgb,10,0.10508014975565994,0.27012537029374734,0.6984573757260134,0.9992587467794823
M_DB,xgb,11,0.1143841219561054,0.2713077148715254,0.8342108382806194,0.9992522436156178
M_DB,xgb,12,0.10233396829279486,0.2699215429606851,0.693287185857221,0.9992598650059127
M_DB,xgb,13,0.10644789554688226,0.26774173017423486,0.760248862542599,0.9992717709930801
M_DB,xgb,14,0.10045664036948466,0.2724949516955679,0.7222212717528964,0.9992456849644313
M_DB,xgb,15,0.10405975814352114,0.2520812468373484,0.7258156626105107,0.9993544692730196
M_DB,xgb,16,0.09854884205770437,0.27236563755142446,0.6785967560788801,0.9992464007241743
M_DB,xgb,17,0.09604820962242815,0.23324243516057713,0.8096651446585736,0.9994473489788599
M_DB,xgb,18,0.10454118008016945,0.2450834104345551,0.8330070300879228,0.9993898119853405
M_DB,xgb,19,0.11212722134568366,0.26511270163014855,0.7949220895198084,0.9992860021342366
M_DB,xgb,20,0.10569468085582115,0.2804800941219841,0.7116806755680429,0.9992008286029557
M_DB,xgb,21,0.11191543848400187,0.2660919126988118,0.7985440553670656,0.999280717998128
M_DB,xgb,22,0.10068780903551452,0.2808786481444666,0.6941461725865024,0.9991985557908707
M_DB,xgb,23,0.10186992961119644,0.2658618986954502,0.6910273129453015,0.9992819609778528
M_DB,xgb,24,0.10184928539051435,0.23497571097627307,0.8626675273730802,0.999439104717312
M_DB,xgb,25,0.09731646316116527,0.2735347702572351,0.6188980555405637,0.9992399171710847
M_DB,xgb,26,0.10962865855846075,0.28761338056854274,0.7280253036869508,0.9991596619737491
M_DB,xgb,27,0.10677496879219578,0.2631370261407633,0.7632322335530639,0.9992966042059288
M_DB,xgb,28,0.10426207827456566,0.25801949982815964,0.813121215609618,0.9993236976432774
M_DB,xgb,29,0.10891419042297946,0.2782151898200814,0.7316872837284516,0.9992136832662302
M_DB,xgb,30,0.1072655583960513,0.2669026766975687,0.7546564175679489,0.9992763281135747
M_DB,catboost,1,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,2,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,3,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,4,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,5,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,6,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,7,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
M_DB,catboost,8,0.1351066826007638,0.2453062844137397,1.6147064833374964,0.999388701695042
