Target,Model,MAE_mean,MAE_std,MAE_median,MAE_p25,MAE_p75,MAE_iqr,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,RMSE_iqr,RMSE_min,RMSE_max,MAPE_mean,MAPE_std,MAPE_median,MAPE_p25,MAPE_p75,MAPE_iqr,MAPE_min,MAPE_max,R2_mean,R2_std,R2_median,R2_p25,R2_p75,R2_iqr,R2_min,R2_max,n_seeds
M_DB,knn,2.106026635475885,0.0,2.106026635475885,2.106026635475885,2.106026635475885,0.0,2.106026635475885,2.106026635475885,2.671970096803871,9.033620566533923e-16,2.67197009680387,2.67197009680387,2.67197009680387,0.0,2.67197009680387,2.67197009680387,24.0753675300798,0.0,24.0753675300798,24.0753675300798,24.0753675300798,0.0,24.0753675300798,24.0753675300798,0.9274731142325734,2.2584051416334807e-16,0.9274731142325736,0.9274731142325736,0.9274731142325736,0.0,0.9274731142325736,0.9274731142325736,30.0
M_DB,lasso,2.245405762360128,4.516810283266961e-16,2.2454057623601282,2.2454057623601282,2.2454057623601282,0.0,2.2454057623601282,2.2454057623601282,3.0747393710113355,9.033620566533923e-16,3.0747393710113364,3.0747393710113364,3.0747393710113364,0.0,3.0747393710113364,3.0747393710113364,27.88588565820441,0.0,27.88588565820441,27.88588565820441,27.88588565820441,0.0,27.88588565820441,27.88588565820441,0.9039599316303347,2.2584051416334807e-16,0.9039599316303345,0.9039599316303345,0.9039599316303345,0.0,0.9039599316303345,0.9039599316303345,30.0
M_DB,elasticnet,2.245959610473435,0.0,2.245959610473435,2.245959610473435,2.245959610473435,0.0,2.245959610473435,2.245959610473435,3.0752630536360943,4.516810283266961e-16,3.0752630536360948,3.0752630536360948,3.0752630536360948,0.0,3.0752630536360948,3.0752630536360948,27.889883724677784,7.226896453227138e-15,27.889883724677777,27.889883724677777,27.889883724677777,0.0,27.889883724677777,27.889883724677777,0.9039272141918527,1.1292025708167404e-16,0.9039272141918526,0.9039272141918526,0.9039272141918526,0.0,0.9039272141918526,0.9039272141918526,30.0
M_DB,ridge,2.247420954641308,0.0,2.247420954641308,2.247420954641308,2.247420954641308,0.0,2.247420954641308,2.247420954641308,3.077346140147581,4.516810283266961e-16,3.0773461401475806,3.0773461401475806,3.0773461401475806,0.0,3.0773461401475806,3.0773461401475806,27.866112699209562,0.0,27.866112699209562,27.866112699209562,27.866112699209562,0.0,27.866112699209562,27.866112699209562,0.9037970167414701,3.387607712450221e-16,0.9037970167414697,0.9037970167414697,0.9037970167414697,0.0,0.9037970167414697,0.9037970167414697,30.0
M_LB,xgb,0.06958549108035625,0.010260800058081708,0.067147436214744,0.06056466301342108,0.07643007658993262,0.015865413576511535,0.057234769817385525,0.09340539001544791,0.10147536420694848,0.015253542678188127,0.09760671130159151,0.088143742930763,0.1085598092063855,0.020416066275622494,0.08136534020698066,0.1343644185913852,0.5928937206814202,0.10616398600527936,0.5650102917981638,0.5048107909256083,0.6620087442807822,0.15719795335517384,0.46429692426103825,0.8769574810416817,0.9999288695107846,2.2138785551882936e-05,0.9999355862402679,0.9999203128875866,0.9999474788511479,2.716596356122647e-05,0.9998779552038531,0.9999552462325172,30.0
M_LB,gpr,0.08270407769894159,1.4115032135209254e-17,0.08270407769894157,0.08270407769894157,0.08270407769894157,0.0,0.08270407769894157,0.08270407769894157,0.11297442669241324,2.823006427041851e-17,0.11297442669241321,0.11297442669241321,0.11297442669241321,0.0,0.11297442669241321,0.11297442669241321,0.780697331290363,2.2584051416334807e-16,0.7806973312903632,0.7806973312903632,0.7806973312903632,0.0,0.7806973312903632,0.7806973312903632,0.999913719827629,1.1292025708167404e-16,0.9999137198276291,0.9999137198276291,0.9999137198276291,0.0,0.9999137198276291,0.9999137198276291,30.0
M_LB,lgbm,0.1032165267472295,0.004778102014229104,0.1021636142476727,0.09924717747465536,0.1073129742718767,0.00806579679722133,0.09511422999437934,0.11255476517614581,0.13130843257514557,0.00626872163305846,0.12964865537163725,0.1260538051925203,0.13717964961387638,0.011125844421356085,0.12218915545208174,0.1422102010675424,0.9686353229072245,0.05383188375796341,0.957754014431409,0.9402000071170374,0.9961731816452548,0.05597317452821737,0.891407307110314,1.1179271318393649,0.9998831868536996,1.1199143749504153e-05,0.9998863715163395,0.999872786696262,0.9998925837233688,1.9797027106749354e-05,0.9998632862447135,0.9998990709842768,30.0
M_LB,dt,0.11816547074942534,0.001302301905920524,0.11823039356321843,0.11689712717241382,0.1189644377011495,0.002067310528735683,0.11649174197701151,0.1202149640459771,0.17163979726512613,0.0024652861693455316,0.17165457531781025,0.16918563849282736,0.1739729870690591,0.004787348576231726,0.16910539559783205,0.17423744194678184,0.7108292460952029,0.008108830112420045,0.7085798897150029,0.7046149206942834,0.7162237411175492,0.01160882042326572,0.7000665731391106,0.7270702876795577,0.9998008073555206,5.720962377600286e-06,0.9998007782984474,0.9997953958904828,0.9998065014310367,1.110554055383517e-05,0.9997947733837341,0.9998066849610452,30.0
M_LB,svr,0.1551735676690206,2.823006427041851e-17,0.15517356766902057,0.15517356766902057,0.15517356766902057,0.0,0.15517356766902057,0.15517356766902057,0.2512189545305083,1.1292025708167404e-16,0.2512189545305082,0.2512189545305082,0.2512189545305082,0.0,0.2512189545305082,0.2512189545305082,1.5402300158794433,4.516810283266961e-16,1.5402300158794429,1.5402300158794429,1.5402300158794429,0.0,1.5402300158794429,1.5402300158794429,0.9995733659442867,2.2584051416334807e-16,0.9995733659442869,0.9995733659442869,0.9995733659442869,0.0,0.9995733659442869,0.9995733659442869,30.0
M_LB,gbrt,0.17789938488199863,2.0821466605868714e-16,0.17789938488199863,0.17789938488199852,0.17789938488199875,2.220446049250313e-16,0.17789938488199816,0.17789938488199908,0.25734290063663,2.169617115896714e-16,0.25734290063663,0.25734290063662996,0.2573429006366302,2.220446049250313e-16,0.25734290063662957,0.2573429006366306,1.622042571309326,2.1077103656935287e-15,1.622042571309326,1.622042571309325,1.6220425713093272,2.220446049250313e-15,1.622042571309321,1.6220425713093303,0.9995523123691513,2.2584051416334807e-16,0.9995523123691515,0.9995523123691515,0.9995523123691515,0.0,0.9995523123691515,0.9995523123691515,30.0
M_LB,catboost,0.20291469051438335,2.823006427041851e-17,0.20291469051438338,0.20291469051438338,0.20291469051438338,0.0,0.20291469051438338,0.20291469051438338,0.36880189984161615,1.1292025708167404e-16,0.36880189984161627,0.36880189984161627,0.36880189984161627,0.0,0.36880189984161627,0.36880189984161627,2.5045436829548477,4.516810283266961e-16,2.504543682954848,2.504543682954848,2.504543682954848,0.0,2.504543682954848,2.504543682954848,0.9990805311703717,2.2584051416334807e-16,0.9990805311703719,0.9990805311703719,0.9990805311703719,0.0,0.9990805311703719,0.9990805311703719,30.0
M_LB,histgbr,0.34221282168640293,5.646012854083702e-17,0.342212821686403,0.342212821686403,0.342212821686403,0.0,0.342212821686403,0.342212821686403,0.43297637879032247,1.6938038562251105e-16,0.43297637879032264,0.43297637879032264,0.43297637879032264,0.0,0.43297637879032264,0.43297637879032264,2.836659675002379,4.516810283266961e-16,2.8366596750023785,2.8366596750023785,2.8366596750023785,0.0,2.8366596750023785,2.8366596750023785,0.9987327009199495,3.387607712450221e-16,0.9987327009199498,0.9987327009199498,0.9987327009199498,0.0,0.9987327009199498,0.9987327009199498,30.0
