MAE,RMSE,MAPE,R2,Scenario,Model,Target,n_test
4.275522671571317,5.195263617717237,37.94932150309502,0.3114402186564954,OOD-Material,lgbm,M_DB,144
4.276866332139348,5.200211471841088,37.8188092586057,0.31012805591390014,OOD-Material,histgbr,M_DB,144
4.288157406987927,5.194565552076509,38.027372206075825,0.31162524396731184,OOD-Material,gbrt,M_DB,144
4.294010466755279,4.448071805951929,55.02433951656168,0.4952572933152175,OOD-Material,knn,M_DB,144
4.382119655544706,5.237883693273846,40.14477500076434,0.30009648481721596,OOD-Material,rf,M_DB,144
4.7706960710399295,5.661464743520052,44.648328943513626,0.18231865907962508,OOD-Material,adaboost,M_DB,144
6.425129547288889,7.211545218212398,121.66141550303966,-0.32673178936967573,OOD-Material,svr,M_DB,144
0.19201288020160426,0.27489349682797476,1.7591106946296267,0.9991071197416896,OOD-Perforation,xgb,M_DB,216
0.19210445793886,0.2748060201117636,1.7606090158490315,0.9991076879166838,OOD-Perforation,catboost,M_DB,216
0.1921483646666669,0.2749131067234675,1.7615297177007054,0.9991069923475295,OOD-Perforation,dt,M_DB,216
0.21586852194958558,0.27955595279290907,2.0953365088069957,0.9990765746812438,OOD-Perforation,lgbm,M_DB,216
0.22216293150495994,0.29066008008272526,2.1391830521518385,0.9990017597734593,OOD-Perforation,gbrt,M_DB,216
0.26402775417697616,0.35469658178434904,2.703352067722462,0.9985134541956903,OOD-Perforation,histgbr,M_DB,216
0.3627960779667302,0.5004430923980906,2.721816943335169,0.9970408042999372,OOD-Perforation,rf,M_DB,216
1.3893214079332779,1.753678198055821,13.70603512639405,0.9636617427819572,OOD-Perforation,adaboost,M_DB,216
1.9796337505401769,2.6049799386552386,20.585847548471627,0.9198187070228411,OOD-Perforation,knn,M_DB,216
2.2344464708896785,3.0066209376976216,29.566017958866546,0.8931876072214352,OOD-Perforation,ridge,M_DB,216
2.236175380676348,3.006718249651068,29.68039106290707,0.8931806929538795,OOD-Perforation,elasticnet,M_DB,216
2.2362966701348856,3.006716822579761,29.68923000739408,0.8931807943526267,OOD-Perforation,lasso,M_DB,216
6.462782120308987,7.903565644000564,78.19933612169821,0.2619081352574275,OOD-Perforation,gpr,M_DB,216
7.513375371110652,9.200801264013231,90.6135434077992,-0.00026618964228863895,OOD-Perforation,svr,M_DB,216
2.593489947434732,2.87411349802235,22.034395523397336,0.8678666652531988,OOD-Geometry,gpr,M_LB,144
4.42476068706784,4.522044985066005,48.01847536502769,0.6729046849301884,OOD-Geometry,svr,M_LB,144
4.9077927062765205,5.610255234725192,46.423108405869606,0.49653439506245844,OOD-Geometry,ridge,M_LB,144
4.9084102480727365,5.613907279708922,46.30187971654159,0.49587871099384306,OOD-Geometry,elasticnet,M_LB,144
4.908468021022782,5.61445293467403,46.28289705058299,0.49578070807396857,OOD-Geometry,lasso,M_LB,144
6.722229019289097,7.3862642359477,82.96800777910259,0.1273215589048231,OOD-Geometry,catboost,M_LB,144
6.7443830921341466,8.040575478187844,84.63049845406285,-0.03413880115116141,OOD-Geometry,knn,M_LB,144
7.810944410180203,8.45963793864488,88.88661989079274,-0.14474332415699864,OOD-Geometry,rf,M_LB,144
10.314143263078641,10.899872285654894,111.19221053965352,-0.9004103444907137,OOD-Geometry,gbrt,M_LB,144
13.670148453564387,14.131183388022942,136.15354540749897,-2.194196519421651,OOD-Geometry,xgb,M_LB,144
14.085208277572193,14.596371802793952,136.43468487087728,-2.4079593172781077,OOD-Geometry,histgbr,M_LB,144
14.160119677604872,14.695330878046668,139.28359113214896,-2.4543258704957363,OOD-Geometry,adaboost,M_LB,144
14.245624894919754,14.758995826070608,136.89996494511217,-2.4843212289052996,OOD-Geometry,lgbm,M_LB,144
14.717973112500001,15.261545681290718,142.2955843344928,-2.7256461878893607,OOD-Geometry,dt,M_LB,144
2.1231333491997755,2.264744651476082,32.02276960924533,0.9003579363763112,OOD-Material,gpr,M_LB,144
4.062828088899623,5.171427676449679,55.39299106250826,0.4804526443698759,OOD-Material,ridge,M_LB,144
4.075008096773652,5.184031355209822,55.67580008938982,0.4779171017891922,OOD-Material,elasticnet,M_LB,144
4.077095286679513,5.18599435225233,55.71026952251626,0.477521640747245,OOD-Material,lasso,M_LB,144
5.868238710427434,7.09258029293017,45.85507424216654,0.022734088901019578,OOD-Material,xgb,M_LB,144
5.86828079,7.09261629030646,45.85551827863525,0.022724168929286193,OOD-Material,dt,M_LB,144
5.8682885389781285,7.092623952827459,45.855626147838194,0.02272205732467769,OOD-Material,catboost,M_LB,144
5.868520585212445,7.092752036557612,45.860155556528994,0.022686760222966784,OOD-Material,lgbm,M_LB,144
5.87186200567604,6.113392326983826,62.74738649626115,0.2739462663716874,OOD-Material,knn,M_LB,144
5.873484561430982,7.100533705195833,45.789322409115854,0.020541105150265304,OOD-Material,histgbr,M_LB,144
5.878339165621373,7.100344468842396,45.749780753967705,0.020593311580775153,OOD-Material,gbrt,M_LB,144
6.004147976860182,7.163502166596721,48.14578017342738,0.0030921377189255805,OOD-Material,rf,M_LB,144
6.610928701299555,7.8136534841815415,54.18920115757193,-0.18607601299403598,OOD-Material,adaboost,M_LB,144
8.179425932893407,9.143458963518027,132.22865421680004,-0.6241467528132549,OOD-Material,svr,M_LB,144
0.16314983110308479,0.21083407214032482,1.0450673555425596,0.9996446385592653,OOD-Perforation,xgb,M_LB,216
0.16315638361527343,0.2109356787811577,1.044153449616512,0.999644295960155,OOD-Perforation,catboost,M_LB,216
